contig	window	npos	sum_depth
CP102536.1	0	999	84124
CP102536.1	1000	1000	78961
CP102536.1	2000	1000	73248
CP102536.1	3000	1000	76622
CP102536.1	4000	1000	78386
CP102536.1	5000	1000	75060
CP102536.1	6000	1000	74901
CP102536.1	7000	1000	68628
CP102536.1	8000	1000	71142
CP102536.1	9000	1000	74284
CP102536.1	10000	1000	69725
CP102536.1	11000	1000	71744
CP102536.1	12000	1000	66448
CP102536.1	13000	1000	68397
CP102536.1	14000	1000	72456
CP102536.1	15000	1000	70868
CP102536.1	16000	1000	68613
CP102536.1	17000	1000	65106
CP102536.1	18000	1000	68024
CP102536.1	19000	1000	64015
CP102536.1	20000	1000	51919
CP102536.1	21000	1000	4727
CP102536.1	22000	1000	43596
CP102536.1	23000	1000	63041
CP102536.1	24000	1000	101237
CP102536.1	25000	1000	69000
CP102536.1	26000	1000	69667
CP102536.1	27000	1000	64560
CP102536.1	28000	1000	67177
CP102536.1	29000	1000	68399
CP102536.1	30000	1000	68633
CP102536.1	31000	1000	65769
CP102536.1	32000	1000	59269
CP102536.1	33000	1000	57762
CP102536.1	34000	1000	57527
CP102536.1	35000	1000	53588
CP102536.1	36000	1000	58624
CP102536.1	37000	1000	56930
CP102536.1	38000	1000	48797
CP102536.1	39000	1000	42814
CP102536.1	40000	1000	45669
CP102536.1	41000	1000	53272
CP102536.1	42000	1000	53257
CP102536.1	43000	1000	49328
CP102536.1	44000	1000	51922
CP102536.1	45000	1000	32000
CP102536.1	46000	1000	57651
CP102536.1	47000	1000	60050
CP102536.1	48000	1000	56917
CP102536.1	49000	1000	48952
CP102536.1	50000	1000	50414
CP102536.1	51000	1000	55475
CP102536.1	52000	1000	60945
CP102536.1	53000	1000	11771
CP102536.1	54000	1000	21238
CP102536.1	55000	1000	65247
CP102536.1	56000	1000	69175
CP102536.1	57000	1000	67062
CP102536.1	58000	1000	59770
CP102536.1	59000	1000	66145
CP102536.1	60000	1000	58686
CP102536.1	61000	1000	67964
CP102536.1	62000	1000	63882
CP102536.1	63000	1000	64056
CP102536.1	64000	1000	67470
CP102536.1	65000	1000	63310
CP102536.1	66000	1000	61627
CP102536.1	67000	1000	62226
CP102536.1	68000	1000	62911
CP102536.1	69000	1000	57188
CP102536.1	70000	1000	58786
CP102536.1	71000	1000	63484
CP102536.1	72000	1000	66077
CP102536.1	73000	1000	74152
CP102536.1	74000	1000	80770
CP102536.1	75000	1000	83611
CP102536.1	76000	1000	82338
CP102536.1	77000	1000	81756
CP102536.1	78000	1000	68070
CP102536.1	79000	1000	61040
CP102536.1	80000	1000	48225
CP102536.1	81000	1000	45192
CP102536.1	82000	1000	45384
CP102536.1	83000	1000	42740
CP102536.1	84000	1000	42940
CP102536.1	85000	1000	39618
CP102536.1	86000	1000	37570
CP102536.1	87000	1000	41109
CP102536.1	88000	1000	49907
CP102536.1	89000	1000	52714
CP102536.1	90000	1000	51662
CP102536.1	91000	1000	50432
CP102536.1	92000	1000	52012
CP102536.1	93000	1000	52246
CP102536.1	94000	1000	49560
CP102536.1	95000	1000	45671
CP102536.1	96000	1000	41734
CP102536.1	97000	1000	41287
CP102536.1	98000	1000	46610
CP102536.1	99000	1000	54100
CP102536.1	100000	1000	57872
CP102536.1	101000	1000	59432
CP102536.1	102000	1000	53589
CP102536.1	103000	1000	61643
CP102536.1	104000	1000	71206
CP102536.1	105000	1000	69690
CP102536.1	106000	1000	67721
CP102536.1	107000	1000	69497
CP102536.1	108000	1000	77894
CP102536.1	109000	1000	78830
CP102536.1	110000	1000	76945
CP102536.1	111000	1000	71003
CP102536.1	112000	1000	68190
CP102536.1	113000	1000	69450
CP102536.1	114000	1000	68850
CP102536.1	115000	1000	64828
CP102536.1	116000	1000	59338
CP102536.1	117000	1000	62550
CP102536.1	118000	1000	55403
CP102536.1	119000	1000	58748
CP102536.1	120000	1000	62377
CP102536.1	121000	1000	67177
CP102536.1	122000	1000	64916
CP102536.1	123000	1000	54846
CP102536.1	124000	1000	55256
CP102536.1	125000	1000	53688
CP102536.1	126000	1000	55694
CP102536.1	127000	1000	57304
CP102536.1	128000	1000	61157
CP102536.1	129000	1000	106197
CP102536.1	130000	1000	90901
CP102536.1	131000	1000	63704
CP102536.1	132000	1000	57037
CP102536.1	133000	1000	60890
CP102536.1	134000	1000	60767
CP102536.1	135000	1000	62353
CP102536.1	136000	1000	60673
CP102536.1	137000	1000	59098
CP102536.1	138000	1000	52759
CP102536.1	139000	1000	50211
CP102536.1	140000	1000	50371
CP102536.1	141000	1000	52290
CP102536.1	142000	1000	47141
CP102536.1	143000	1000	50979
CP102536.1	144000	1000	52522
CP102536.1	145000	1000	52022
CP102536.1	146000	1000	48029
CP102536.1	147000	1000	44519
CP102536.1	148000	1000	48504
CP102536.1	149000	1000	61084
CP102536.1	150000	1000	66613
CP102536.1	151000	1000	60370
CP102536.1	152000	1000	53861
CP102536.1	153000	1000	52737
CP102536.1	154000	1000	53752
CP102536.1	155000	1000	53290
CP102536.1	156000	1000	49578
CP102536.1	157000	1000	51138
CP102536.1	158000	1000	55348
CP102536.1	159000	1000	56054
CP102536.1	160000	1000	58063
CP102536.1	161000	1000	57649
CP102536.1	162000	1000	56760
CP102536.1	163000	1000	58214
CP102536.1	164000	1000	55568
CP102536.1	165000	1000	51231
CP102536.1	166000	1000	47653
CP102536.1	167000	1000	54591
CP102536.1	168000	1000	53429
CP102536.1	169000	1000	48585
CP102536.1	170000	1000	48171
CP102536.1	171000	1000	49515
CP102536.1	172000	1000	57104
CP102536.1	173000	1000	57503
CP102536.1	174000	1000	59897
CP102536.1	175000	1000	65609
CP102536.1	176000	1000	68668
CP102536.1	177000	1000	70505
CP102536.1	178000	1000	64566
CP102536.1	179000	1000	62927
CP102536.1	180000	1000	62067
CP102536.1	181000	1000	64912
CP102536.1	182000	1000	64860
CP102536.1	183000	1000	56520
CP102536.1	184000	1000	49928
CP102536.1	185000	1000	50918
CP102536.1	186000	1000	50709
CP102536.1	187000	1000	47840
CP102536.1	188000	1000	50032
CP102536.1	189000	1000	48483
CP102536.1	190000	1000	50372
CP102536.1	191000	1000	50419
CP102536.1	192000	1000	53662
CP102536.1	193000	1000	57725
CP102536.1	194000	1000	52837
CP102536.1	195000	1000	48797
CP102536.1	196000	1000	53658
CP102536.1	197000	1000	56150
CP102536.1	198000	1000	55683
CP102536.1	199000	1000	54338
CP102536.1	200000	1000	53536
CP102536.1	201000	1000	52655
CP102536.1	202000	1000	50200
CP102536.1	203000	1000	46385
CP102536.1	204000	1000	44909
CP102536.1	205000	1000	41323
CP102536.1	206000	1000	40061
CP102536.1	207000	1000	40742
CP102536.1	208000	1000	41328
CP102536.1	209000	1000	44102
CP102536.1	210000	1000	47261
CP102536.1	211000	1000	47105
CP102536.1	212000	1000	46436
CP102536.1	213000	1000	47168
CP102536.1	214000	1000	43721
CP102536.1	215000	1000	42284
CP102536.1	216000	1000	40567
CP102536.1	217000	1000	37928
CP102536.1	218000	1000	43715
CP102536.1	219000	1000	47580
CP102536.1	220000	1000	48974
CP102536.1	221000	1000	51166
CP102536.1	222000	1000	56359
CP102536.1	223000	1000	53277
CP102536.1	224000	1000	52341
CP102536.1	225000	1000	53818
CP102536.1	226000	1000	55681
CP102536.1	227000	1000	52826
CP102536.1	228000	1000	49936
CP102536.1	229000	1000	50430
CP102536.1	230000	1000	60578
CP102536.1	231000	1000	57283
CP102536.1	232000	1000	41039
CP102536.1	233000	1000	374
CP102536.1	234000	1000	0
CP102536.1	235000	1000	0
CP102536.1	236000	1000	0
CP102536.1	237000	1000	0
CP102536.1	238000	1000	0
CP102536.1	239000	1000	0
CP102536.1	240000	1000	0
CP102536.1	241000	1000	0
CP102536.1	242000	1000	0
CP102536.1	243000	1000	0
CP102536.1	244000	1000	0
CP102536.1	245000	1000	0
CP102536.1	246000	1000	0
CP102536.1	247000	1000	0
CP102536.1	248000	1000	0
CP102536.1	249000	1000	0
CP102536.1	250000	1000	0
CP102536.1	251000	1000	0
CP102536.1	252000	1000	0
CP102536.1	253000	1000	59200
CP102536.1	254000	1000	91927
CP102536.1	255000	1000	0
CP102536.1	256000	1000	0
CP102536.1	257000	1000	0
CP102536.1	258000	1000	0
CP102536.1	259000	1000	0
CP102536.1	260000	1000	0
CP102536.1	261000	1000	0
CP102536.1	262000	1000	0
CP102536.1	263000	1000	764
